stock1,stock2,stock3,stock4,stock5
-1.450549450549450947e-01,2.125000000000000153e-02,5.555555555555634697e-03,-1.576872536136662145e-02,5.319191715710329567e-03
-9.768637532133668533e-02,3.794369645042839495e-02,-4.419889502762434225e-02,-1.935914552736982611e-02,-5.820101587301582807e-02
1.452991452991453381e-01,-5.896226415094340048e-03,-5.780346820809248443e-02,-2.382573179033356178e-02,-3.932588587299393895e-02
1.044776119402983927e-01,-4.744958481613286219e-03,6.134969325153243405e-03,5.090655509065551004e-02,1.286550175438596899e-01
1.103603603603603295e-01,2.145411203814064430e-02,6.097560975609756656e-02,2.986065029860650311e-02,5.181338645333104231e-02
-2.636916835699791573e-02,3.383897316219369733e-02,3.448275862068973796e-02,-1.610824742268041065e-02,1.970447368293496565e-02
-1.458333333333339255e-02,-9.706546275395033785e-02,-1.666666666666670460e-02,1.899148657498362855e-02,4.830956521739170062e-03
7.822410147991550045e-02,-7.624999999999999833e-02,-2.824858757062146883e-02,-2.249357326478149122e-02,-3.846161390532262109e-02
1.568627450980392135e-01,1.096075778078484386e-01,2.325581395348849667e-02,-4.536489151873767528e-02,-4.999920199996726357e-03
-3.389830508474576259e-02,-2.682926829268292637e-02,-1.136363636363652355e-02,-4.063360881542699837e-02,-1.507537627837683171e-02
-7.719298245614032716e-02,-3.634085213032581252e-02,0.000000000000000000e+00,-4.020100502512562873e-02,0.000000000000000000e+00
1.140684410646387870e-01,4.031209362808842872e-02,-4.022988505747122912e-02,-6.731488406881077323e-03,1.530612182423992523e-02
2.047781569965862955e-02,-4.125000000000000194e-02,-4.191616766467062133e-02,5.271084337349397214e-03,-1.005033125425812239e-02
6.354515050167230950e-02,2.607561929595827999e-02,6.250000000000000000e-02,3.146067415730337269e-02,5.076182947256202560e-03
-5.503144654088050480e-02,-3.811944091486658363e-03,1.176470588235289938e-02,2.904865649963689171e-03,0.000000000000000000e+00
-2.662229617304494658e-02,-1.275510204081632681e-02,0.000000000000000000e+00,1.375814627081824691e-02,2.020206060606064696e-02
1.025641025641028069e-02,-9.043927648578810666e-03,4.651162790697678517e-02,-2.642857142857142974e-02,4.950415645528011797e-03
-8.291032148900166765e-02,-4.563233376792698998e-02,0.000000000000000000e+00,-1.467351430667644847e-02,0.000000000000000000e+00
-7.749077490774912425e-02,-1.229508196721311453e-02,0.000000000000000000e+00,-2.233804914370811530e-03,-1.970435545632919991e-02
-3.799999999999997130e-02,-6.085753803596127137e-02,2.222222222222214327e-02,-3.582089552238806179e-02,-7.035183636776545790e-02
-7.484407484407487599e-02,-3.976435935198821547e-02,-4.347826086956506353e-02,-2.089783281733745973e-02,-4.594586144630743302e-02
4.044943820224712605e-02,7.822085889570552786e-02,0.000000000000000000e+00,2.292490118577075048e-02,1.982998210402342823e-02
1.943844492440617230e-02,2.418207681365576109e-02,1.704545454545438113e-02,-2.318392581143740444e-02,1.111106666666662052e-02
-5.720338983050853032e-02,-4.305555555555555525e-02,-7.262569832402218650e-02,-3.955696202531645833e-02,-3.296703441613338392e-02
